,Average Rank,Film,Year
0,17,Parasite,2019
1,19,Lord of the Rings: The Fellowship of the Ring,2001
2,23,Avengers: Endgame,2019
3,34,Spider-Man: Into the Spider-verse,2018
4,37,The Dark Knight,2008
5,41,Mad Max: Fury Road,2015
6,42,Inception,2010
7,43,Lord of the Rings: Return of the King,2003
8,49,Lord of the Rings: The Two Towers,2002
9,55,Interstellar,2014
10,59,Avengers: Infinity War,2018
11,60,Gladiator,2000
12,62,Get Out,2017
13,63,Moonlight,2016
14,64,Spirited Away,2001
15,65,Lady Bird,2017
16,69,Black Panther,2018
17,70,Whiplash,2014
18,76,Mulholland Drive,2001
19,77,In the Mood for Love,2000
20,78,A Quiet Place,2018
21,80,Coco,2017
22,86,Logan,2017
23,87,Thor: Ragnarok,2017
24,90,Eternal Sunshine of the Spotless Mind,2004
